Bill Name,Bill Title
HB 102,Revise laws related to public defenders for clarity
HB 114,Generally revise consumer protection laws
HB 122,Revise right-of-way laws
HB 123,Revise alcohol laws relating to self-service
HB 126,Revise legislative oversight of administrative rules and encourage public comment
HB 130,Revise state wildland fire policy and funding
HB 141,Revise laws relating to raffles conducted by certain nonprofit entities to allow credit cards
HB 151,Revise educational laws pertaining to recruitment and retention and MSDB
HB 166,Revise Montana historical society laws
HB 180,Revise sanitation in subdivision laws related to mixing zones
HB 184,Modify language in the MCA that may diminish the dignity of individuals who are deaf or hard of hearing
HB 193,Require signature for voter registration cancellation
HB 201,Require disclosure of paid signature gatherers for initiatives
HB 208,Providing authority for municipalities to control unauthorized occupancy of municipal property
HB 217,Transfer the state building energy conservation program to the Dept. of Administration A&E division
HB 226,Provide for a legal employment and government accountability law
HB 251,Generally revise laws related to public charter schools
HB 266,Establish education inflation reconciliation process
HB 267,Revise DUI laws related to enacting Bobby's law
HB 269,Eliminate the organic commodity advisory council
HB 270,Revise remedies to MEPA
HB 276,Standardize service of process for professional licenses
HB 285,Generally revise Montana environmental policy act
HB 291,Revise laws related to air quality standards
HB 292,Establish the uniform public expression protection act
HB 293,Revise election administrator laws
HB 296,Revising laws related to professional licensing injunctions and penalties
HB 307,Generally revise laws related to licensing donations for disabled veterans
HB 311,Require the refund of rental application fees
HB 312,Revise speed limit laws
HB 318,Require appeal process for certain local government health requirements
HB 324,Revise voluntary payment laws to include all claims
HB 325,Revise covenant laws
HB 328,Allow hunter over 75 years to use general elk license for cow elk
HB 330,Create auction or lottery licenses for antelope and swans
HB 333,Generally revise local law enforcement laws
HB 336,Provide for apprenticeship programs for certain license types
HB 337,Revise income tax laws to lower income taxes
HB 342,Revise civil liability laws to provide a statutory duty of care for certain actions
HB 344,Revise criminal laws.
HB 352,Revise child support guideline laws and establish a committee
HB 367,Revise workers' compensation laws relating to travel and reimbursement
HB 380,Revise meeting date for presidential electors to align with federal law
HB 387,Revise laws related to highway reconstruction
HB 391,Clarify alcohol concession agreement permissible revenue structure laws
HB 393,Require towns to record meetings in audio format
HB 394,Revise local government public notice and resolution requirements
HB 397,Revise laws related to privacy in mental health digital service
HB 398,Generally revise insurance laws related to prior authorization of chronic conditions
HB 400,"Enact the ""Free to Speak Act"""
HB 401,Prohibit the sale of lab-grown meat in the state of Montana
HB 413,Revise election laws regarding residency
HB 414,Revise laws related to licensing applications
HB 415,Revise laws on a judge's ability to provide bail to certain defendants
HB 423,Revise election laws related to active and inactive voter lists
HB 428,Revising provisions related to workers compensation
HB 430,Repeal process to establish county owned scales
HB 435,Clarifying laws related to professional license discipline
HB 438,"Establishing a board of physical, rehabilitative, and developmental healthcare professionals"
HB 442,Revise laws regarding reporting requirements for certain professional occupations
HB 443,Repeal county licensing of transient retail merchants
HB 447,Enact the Respiratory Care Interstate Compact
HB 450,Generally revise bird dog training licensing laws
HB 454,Revise visit frequency required of supervisory physical therapists
HB 455,Revise election laws related to COPP deadlines for municipal candidates
HB 458,Generally revise laws related to physician assistants
HB 463,Revise business laws relating to conversion of certain business entities
HB 464,Revise insurance laws relating to interest of a named insured and change of interest by transfer on death
HB 466,Provide categorical exclusions from MEPA
HB 467,Revise DUI testing to include oral fluids
HB 468,Generally revise laws related to watercraft.
HB 471,Revise education laws related to human sexuality and identity instruction
HB 473,Allow for automatic CMS medicare fee schedule updates
HB 474,Revise date for annual supplemental medicaid payment to hospitals
HB 475,Regulate restraints on women while giving childbirth
HB 476,Establish grant program for newborn safety devices
HB 486,Revise county deputy sheriff compensation
HB 487,Eliminate requirement that the Dept of Transportation have certain divisions
HB 491,Revise alcohol laws relating to community care retirement facility licenses
HB 493,Establish the crime of possession of stolen firearm or ammunition
HB 496,Amend laws related to the retrocession of jurisdiction over federal lands
HB 502,Establish board of facility health care professionals
HB 503,Generally revise traffic laws regarding evading or fleeing a peace officer
HB 504,Expand livestock loss eligibility to include domestic bison
HB 520,Revise laws to clarify that local prohibitions on conveying family transfer parcels do not apply to conveyances involving lenders
HB 521,Generally revise civil liability laws
HB 523,Providing for disposition of abandoned graveyard lots
HB 530,Generally revise business laws
HB 531,Revise laws related to legislative rules
HB 544,Generally revise health insurance laws relating to health utilization review
HB 591,Institute the celebrate freedom week in Montana's public schools
HB 595,Revise qualifications for teachers of adult basic education or high school equivalency programs at state correctional institutions
HB 600,Authorize emergency use of albuterol in a school setting
HB 603,Eliminate attorney requirements on quasi-judicial boards
HB 612,Generally revise criminal procedure laws
HB 614,Allow for the termination of certain county zoning districts
HB 616,Allow data modeling for mine bond release
HB 625,Withhold entitlement share for non-compliance with child abuse reporting requirements
HB 629,Revise laws related to a proposed subdivision's connection to a public water supply or wastewater system
HB 631,Revise student online protection laws related to postsecondary opportunities
HB 632,Revise compensation of members of certain boards
HB 638,Revise human rights laws
HB 642,Revise civil liability laws
HB 648,Require FWP notification before the release of large predators
HB 651,Allow for temporary door locks during emergency situations
HB 655,Prohibit discriminatory action against persons providing adoption or foster care services
HB 656,Revising the fund structure and use of employment security account
HB 664,Repeal numeric nutrient standards
HB 671,Revise ABLE Act definitions to conform to Montana individual income tax code
HB 694,Revise laws related to child abuse and neglect
HB 710,Generally revise laws related to the judiciary
SB 105,Generally revise election laws related to electioneering at polling locations
SB 111,Revising laws related to green lights on snow removal equipment
SB 161,Provide for regulation and sale of aquaculture
SB 163,"Generally revise privacy laws related to biometric, genetic, and neural data"
SB 166,Revising certified public accountant education requirements
SB 221,Generally revise the Montana environmental policy act
SB 487,Revising laws related to the Montana end of watch trust
