Bill,Status
HB 943,Passed
HB 732,Passed
HB 161,Passed
HB 381,Passed
HB 76,Passed
HB 399,Passed
HB 473,Passed
HB 245,Passed
HB 398,Passed
HB 77,Passed
HB 403,Passed
HB 574,Passed
HB 687,Passed
HB 949,Passed
HB 881,Passed
HB 576,Passed
HB 796,Passed
HB 891,Passed
HB 56,Passed
HB 253,Passed
HB 184,Passed
HB 352,Passed
HB 476,Passed
HB 825,Passed
HB 953,Passed
HB 807,Passed
HB 38,Passed
HB 397,Passed
HB 419,Passed
HB 601,Passed
HB 750,Failed
HB 494,Failed
HB 835,Failed
HJ 19,Failed
HB 902,Failed
HB 934,Failed
HB 843,Failed
HB 386,Failed
HB 457,Failed
HB 749,Failed
HB 360,Failed
HB 456,Failed
HB 498,Failed
HB 510,Failed
HB 274,Failed
HB 273,Failed
HB 783,Failed
HB 185,Failed
HJ 26,Failed
HB 377,Failed
HJ 66,Failed
HB 236,Failed
HB 884,Failed
HB 364,Failed
HB 565,Failed
HJ 75,Failed
HB 885,Failed
HB 50,Failed
HJ 43,Failed
HB 230,Failed
HB 912,Failed
HB 689,Failed
HB 765,Failed
