Bill,Status
HB 742,Passed
HB 144,Passed
HB 492,Passed
HB 208,Passed
HB 68,Passed
HB 621,Passed
HB 716,Passed
HB 486,Passed
HB 393,Passed
HB 394,Passed
HB 520,Passed
HB 333,Passed
HB 681,Passed
HB 511,Passed
HB 40,Passed
HB 180,Passed
HB 561,Passed
HB 534,Passed
HB 443,Passed
HB 37,Passed
HB 523,Passed
HB 547,Passed
HB 430,Passed
HB 159,Passed
HB 323,Passed
HB 683,Passed
HB 318,Passed
HB 888,Passed
HB 713,Passed
HB 714,Passed
HB 901,Passed
HB 614,Passed
HB 764,Passed
HB 162,Passed
HB 644,Failed
HB 160,Failed
HB 802,Failed
HB 378,Failed
HB 579,Failed
HB 604,Failed
HB 594,Failed
HB 657,Failed
HB 738,Failed
HJ 30,Failed
HB 887,Failed
HJ 47,Failed
HB 784,Failed
HB 313,Failed
HJ 50,Failed
HB 34,Failed
HB 658,Failed
HB 782,Failed
HB 830,Failed
HB 746,Failed
HB 369,Failed
HB 871,Failed
HB 889,Failed
