Bill,Status
HB 717,Passed
HB 59,Passed
HB 616,Passed
HB 127,Passed
HB 935,Passed
HB 703,Passed
HB 633,Passed
HB 699,Passed
HB 58,Passed
HB 69,Passed
HB 587,Passed
HB 84,Passed
HB 580,Passed
HB 64,Passed
HB 31,Passed
HB 421,Passed
HB 466,Passed
HB 70,Passed
HB 808,Passed
HB 299,Passed
HB 432,Passed
HB 441,Passed
HB 346,Passed
HB 685,Passed
HB 74,Passed
HB 26,Passed
HB 355,Passed
HB 270,Passed
HB 684,Passed
HB 629,Passed
HB 48,Passed
HB 285,Passed
HB 664,Passed
HB 923,Passed
HB 79,Passed
HB 291,Passed
HB 80,Passed
HB 736,Passed
HB 130,Passed
HB 368,Passed
HB 660,Failed
HB 704,Failed
HB 481,Failed
HJ 62,Failed
HB 256,Failed
HJ 71,Failed
HR 2,Failed
HJ 74,Failed
HJ 35,Failed
HJ 44,Failed
HB 647,Failed
HB 229,Failed
HB 630,Failed
HJ 39,Failed
