Bill,Status
HB 111,Passed
HB 279,Passed
HB 627,Passed
HB 349,Passed
HB 293,Passed
HB 834,Passed
HB 167,Passed
HB 85,Passed
HB 380,Passed
HB 656,Passed
HB 120,Passed
HB 651,Passed
HB 539,Passed
HB 248,Passed
HB 917,Passed
HB 280,Passed
HB 126,Passed
HB 91,Passed
HB 592,Passed
HB 166,Passed
HB 804,Passed
HB 193,Passed
HB 527,Passed
HB 203,Passed
HB 179,Passed
HB 181,Passed
HB 63,Passed
HB 679,Passed
HB 47,Passed
HB 786,Passed
HB 217,Passed
HB 566,Passed
HB 62,Passed
HB 192,Passed
HB 88,Passed
HB 680,Passed
HB 692,Passed
HB 54,Passed
HB 413,Passed
HB 818,Passed
HB 207,Passed
HB 72,Passed
HB 406,Passed
HB 190,Passed
HB 769,Passed
HB 271,Passed
HB 201,Passed
HB 455,Passed
HB 562,Passed
HB 66,Passed
HB 61,Passed
HB 423,Passed
HB 719,Passed
HB 759,Passed
HB 496,Passed
HB 100,Passed
HB 358,Passed
HB 115,Passed
HB 112,Passed
HB 39,Passed
HB 725,Passed
HB 770,Passed
HB 189,Passed
HB 81,Passed
HB 359,Passed
HB 125,Passed
HB 698,Failed
HB 821,Failed
HB 286,Failed
HB 309,Failed
HB 705,Failed
HB 799,Failed
HJ 69,Failed
HB 395,Failed
HB 673,Failed
HB 674,Failed
HB 479,Failed
HB 645,Failed
HB 851,Failed
HB 856,Failed
HB 379,Failed
HB 402,Failed
HB 780,Failed
HB 410,Failed
HB 334,Failed
HB 598,Failed
HB 272,Failed
HB 298,Failed
HB 187,Failed
HB 938,Failed
HJ 64,Failed
HB 375,Failed
HB 678,Failed
HB 221,Failed
HB 879,Failed
HB 557,Failed
HB 659,Failed
HB 370,Failed
HR 7,Failed
HB 488,Failed
HB 224,Failed
HJ 42,Failed
HB 376,Failed
HB 618,Failed
HB 33,Failed
HB 728,Failed
HJ 11,Failed
HB 152,Failed
HB 822,Failed
HB 741,Failed
HB 597,Failed
HB 722,Failed
HB 788,Failed
HB 383,Failed
HJ 38,Failed
HB 640,Failed
HB 482,Failed
HB 113,Failed
HJ 48,Failed
HB 700,Failed
HB 688,Failed
HB 613,Failed
HB 815,Failed
HB 812,Failed
HB 724,Failed
HB 170,Failed
HB 789,Failed
