Bill,Status
HB 487,Passed
HB 672,Passed
HB 387,Passed
HB 586,Passed
HB 97,Passed
HB 448,Passed
HB 849,Passed
HB 345,Passed
HB 739,Passed
HB 708,Passed
HB 351,Passed
HB 571,Passed
HB 43,Passed
HB 341,Passed
HB 588,Passed
HB 99,Passed
HB 312,Passed
HB 42,Passed
HB 940,Passed
HB 855,Passed
HB 641,Passed
HB 165,Passed
HB 172,Failed
HB 773,Failed
HB 933,Failed
HJ 70,Failed
HB 275,Failed
HB 848,Failed
HB 550,Failed
HB 212,Failed
HB 570,Failed
HJ 8,Failed
HJ 49,Failed
HB 124,Failed
HB 824,Failed
HB 731,Failed
HJ 3,Failed
