Bill,Status
SB 449,Passed
SB 338,Passed
SB 208,Passed
SB 198,Passed
SB 495,Passed
SB 104,Passed
SB 279,Passed
SB 166,Passed
SB 278,Passed
SB 110,Passed
SB 511,Passed
SB 426,Passed
SB 227,Passed
SB 305,Passed
SB 244,Passed
SB 442,Passed
SB 361,Passed
SB 373,Passed
SB 316,Passed
SB 233,Passed
SB 109,Passed
SB 456,Passed
SB 320,Passed
SB 335,Passed
SB 242,Passed
SB 555,Passed
SB 74,Passed
SB 446,Passed
SB 27,Passed
SB 347,Passed
SB 60,Passed
SB 553,Passed
SB 183,Passed
SB 447,Passed
SB 241,Passed
SB 518,Passed
SB 497,Passed
SB 113,Passed
SR 39,Failed
SB 293,Failed
SB 548,Failed
SB 438,Failed
SR 87,Failed
SB 394,Failed
SB 448,Failed
SB 308,Failed
SR 49,Failed
SB 295,Failed
SB 150,Failed
SB 345,Failed
SB 461,Failed
SR 44,Failed
SR 56,Failed
SB 551,Failed
SB 504,Failed
SB 556,Failed
SR 67,Failed
SB 417,Failed
SR 60,Failed
SB 179,Failed
SB 405,Failed
SR 75,Failed
SB 356,Failed
SR 57,Failed
SB 234,Failed
SB 202,Failed
SB 443,Failed
SR 66,Failed
SR 99,Failed
SR 8,Failed
SR 55,Failed
SR 52,Failed
SB 422,Failed
SB 346,Failed
SB 515,Failed
SB 377,Failed
SB 255,Failed
SR 89,Failed
SB 325,Failed
SR 24,Failed
SR 64,Failed
SB 240,Failed
SR 41,Failed
SJ 5,Failed
SR 13,Failed
SJ 33,Failed
SB 489,Failed
SB 307,Failed
SR 54,Failed
SB 530,Failed
SR 37,Failed
SR 30,Failed
SR 65,Failed
SB 376,Failed
SR 28,Failed
SB 528,Failed
SB 219,Failed
SR 101,Failed
SR 106,Failed
SB 484,Failed
SB 483,Failed
SB 459,Failed
SB 153,Failed
SB 291,Failed
