Bill,Status
SB 116,Passed
SB 59,Passed
SB 486,Passed
SB 350,Passed
SB 37,Passed
SB 181,Passed
SB 36,Passed
SB 34,Passed
SB 271,Passed
SB 182,Passed
SB 35,Passed
SB 369,Passed
SB 177,Passed
SB 258,Passed
SB 482,Passed
SB 478,Failed
SJ 7,Failed
SB 474,Failed
SR 32,Failed
SR 9,Failed
SB 299,Failed
SR 26,Failed
SB 521,Failed
SB 526,Failed
SB 451,Failed
SB 138,Failed
SB 210,Failed
SR 108,Failed
SB 507,Failed
SJ 20,Failed
SB 159,Failed
SR 71,Failed
SR 31,Failed
SB 215,Failed
SB 118,Failed
SR 53,Failed
SR 70,Failed
SB 525,Failed
SB 407,Failed
SB 396,Failed
SR 69,Failed
