Bill,Status
SB 22,Passed
SB 333,Passed
SB 23,Passed
SB 301,Passed
SB 212,Passed
SB 330,Passed
SB 265,Passed
SB 67,Passed
SB 355,Passed
SB 51,Passed
SB 364,Passed
SB 163,Passed
SB 458,Passed
SB 124,Passed
SB 228,Passed
SB 160,Failed
SB 294,Failed
SR 95,Failed
SR 98,Failed
SJ 12,Failed
SB 445,Failed
SB 410,Failed
SB 505,Failed
SB 432,Failed
SB 24,Failed
SJ 14,Failed
SB 561,Failed
SB 119,Failed
SB 453,Failed
SB 406,Failed
SB 207,Failed
SJ 16,Failed
SR 14,Failed
SJ 26,Failed
SJ 21,Failed
SB 452,Failed
SR 97,Failed
SR 59,Failed
SB 188,Failed
SR 96,Failed
SR 100,Failed
SB 81,Failed
SJ 9,Failed
SR 58,Failed
SB 283,Failed
