billPassed,billFailed
HB 1,HB 21
HB 2,HB 23
HB 3,HB 25
HB 4,HB 27
HB 5,HB 30
HB 6,HB 33
HB 7,HB 34
HB 8,HB 35
HB 9,HB 36
HB 10,HB 50
HB 11,HB 51
HB 12,HB 52
HB 13,HB 57
HB 15,HB 65
HB 16,HB 71
HB 17,HB 73
HB 18,HB 93
HB 19,HB 94
HB 20,HB 101
HB 22,HB 103
HB 24,HB 113
HB 26,HB 116
HB 28,HB 119
HB 29,HB 124
HB 31,HB 131
HB 32,HB 132
HB 37,HB 133
HB 38,HB 134
HB 39,HB 138
HB 40,HB 139
HB 41,HB 148
HB 42,HB 149
HB 43,HB 152
HB 44,HB 154
HB 45,HB 155
HB 46,HB 160
HB 47,HB 163
HB 48,HB 169
HB 49,HB 170
HB 53,HB 172
HB 54,HB 174
HB 55,HB 176
HB 56,HB 177
HB 58,HB 182
HB 59,HB 185
HB 60,HB 187
HB 61,HB 188
HB 62,HB 199
HB 63,HB 200
HB 64,HB 202
HB 66,HB 204
HB 67,HB 205
HB 68,HB 209
HB 69,HB 212
HB 70,HB 213
HB 72,HB 216
HB 74,HB 220
HB 75,HB 221
HB 76,HB 222
HB 77,HB 223
HB 78,HB 224
HB 79,HB 229
HB 80,HB 230
HB 81,HB 232
HB 82,HB 236
HB 83,HB 237
HB 84,HB 240
HB 85,HB 243
HB 86,HB 247
HB 87,HB 255
HB 88,HB 256
HB 89,HB 258
HB 90,HB 262
HB 91,HB 263
HB 92,HB 265
HB 95,HB 271
HB 96,HB 272
HB 97,HB 273
HB 98,HB 274
HB 99,HB 275
HB 100,HB 277
HB 102,HB 282
HB 104,HB 283
HB 105,HB 286
HB 106,HB 287
HB 107,HB 288
HB 108,HB 289
HB 109,HB 290
HB 110,HB 294
HB 111,HB 295
HB 112,HB 297
HB 114,HB 298
HB 115,HB 301
HB 117,HB 302
HB 118,HB 303
HB 120,HB 304
HB 121,HB 305
HB 122,HB 306
HB 123,HB 309
HB 125,HB 310
HB 126,HB 313
HB 127,HB 314
HB 128,HB 315
HB 129,HB 316
HB 130,HB 319
HB 135,HB 320
HB 136,HB 322
HB 137,HB 326
HB 140,HB 327
HB 141,HB 331
HB 142,HB 334
HB 143,HB 339
HB 144,HB 340
HB 145,HB 347
HB 146,HB 353
HB 147,HB 360
HB 150,HB 361
HB 151,HB 362
HB 153,HB 363
HB 156,HB 364
HB 157,HB 366
HB 158,HB 368
HB 159,HB 369
HB 161,HB 370
HB 162,HB 371
HB 164,HB 373
HB 165,HB 374
HB 166,HB 375
HB 167,HB 376
HB 168,HB 377
HB 171,HB 378
HB 173,HB 379
HB 175,HB 382
HB 178,HB 383
HB 179,HB 385
HB 180,HB 386
HB 181,HB 389
HB 183,HB 390
HB 184,HB 395
HB 186,HB 402
HB 189,HB 404
HB 190,HB 405
HB 191,HB 407
HB 192,HB 408
HB 193,HB 410
HB 194,HB 412
HB 195,HB 417
HB 196,HB 418
HB 197,HB 420
HB 198,HB 422
HB 201,HB 425
HB 203,HB 429
HB 206,HB 433
HB 207,HB 436
HB 208,HB 437
HB 210,HB 439
HB 211,HB 440
HB 214,HB 445
HB 215,HB 451
HB 217,HB 452
HB 218,HB 453
HB 219,HB 456
HB 225,HB 457
HB 226,HB 459
HB 227,HB 460
HB 228,HB 461
HB 231,HB 462
HB 233,HB 465
HB 234,HB 469
HB 235,HB 470
HB 238,HB 472
HB 239,HB 477
HB 241,HB 478
HB 242,HB 479
HB 244,HB 481
HB 245,HB 482
HB 246,HB 484
HB 248,HB 485
HB 249,HB 488
HB 250,HB 489
HB 251,HB 494
HB 252,HB 498
HB 253,HB 500
HB 254,HB 501
HB 257,HB 506
HB 259,HB 507
HB 260,HB 508
HB 261,HB 510
HB 264,HB 511
HB 266,HB 512
HB 267,HB 517
HB 268,HB 518
HB 269,HB 519
HB 270,HB 522
HB 276,HB 524
HB 278,HB 525
HB 279,HB 526
HB 280,HB 528
HB 281,HB 529
HB 284,HB 536
HB 285,HB 537
HB 291,HB 540
HB 292,HB 541
HB 293,HB 542
HB 296,HB 546
HB 299,HB 547
HB 300,HB 548
HB 307,HB 550
HB 308,HB 551
HB 311,HB 552
HB 312,HB 555
HB 317,HB 556
HB 318,HB 557
HB 321,HB 558
HB 323,HB 559
HB 324,HB 560
HB 325,HB 564
HB 328,HB 565
HB 329,HB 569
HB 330,HB 570
HB 332,HB 577
