metric,value
memberCount,146
billsSponsored,1759
billsPassed,942
memberCountRepublicans,90
billsSponsoredRepublicans,1370
billsPassedRepublicans,809
memberCountDemocrats,56
billsSponsoredDemocrats,389
billsPassedDemocrats,133
memberCountHouse,98
billsSponsoredHouse,1036
billsPassedHouse,560
memberCountSenate,48
billsSponsoredSenate,723
billsPassedSenate,382
memberCountHouserepublicans,58
billsSponsoredHouserepublicans,795
billsPassedHouserepublicans,471
memberCountHousedemocrats,40
billsSponsoredHousedemocrats,241
billsPassedHousedemocrats,89
memberCountSenaterepublicans,32
billsSponsoredSenaterepublicans,575
billsPassedSenaterepublicans,338
memberCountSenatedemocrats,16
billsSponsoredSenatedemocrats,148
billsPassedSenatedemocrats,44
