billNumber,billType,title,status
27,House Joint Resolution,Interim study on laws regarding morticians and funeral services,Failed
42,House Bill,Revise laws related to highways and transportation for clarity and consistency,Passed
43,House Bill,Generally revise motor vehicle traffic regulation laws,Passed
44,House Bill,Revise laws related to tampering with evidence connected to a homicide,Passed
70,House Joint Resolution,Study resolution on impacts of federal funding changes on MDT,Failed
99,House Bill,Revise laws related to motor vehicle laws for clarity and consistency,Passed
287,House Bill,Generally revise laws related to dangerous drugs,Failed
306,House Bill,Provide tax credit to landlords that rent for below market rate,Failed
387,House Bill,Revise laws related to highway reconstruction,Passed
503,House Bill,Generally revise traffic laws regarding evading or fleeing a peace officer,Passed
581,House Bill,Allow police chief to appoint certain officers as court officer,Failed
848,House Bill,Provide funding for regional rail authorities,Failed
