billNumber,billType,title,status
10,Senate Resolution,Confirm governor's appointees for board of alternative health care,Passed
11,Senate Resolution,Confirm governor appointee for board of athletic trainers,Passed
12,Senate Resolution,Confirm governor's appointees for board of dentistry,Passed
17,Senate Bill,Revise laws related to hearings after the emergency removal and protective placement of a child,Passed
18,Senate Bill,Revise the definition of child abuse or neglect,Passed
20,Senate Resolution,Confirm governor's appointees for the board of nursing,Passed
22,Senate Resolution,Confirm governor's appointees for the board of medical examiners,Passed
27,Senate Resolution,Confirm governor's appointee for the board of nursing home administrators,Passed
30,Senate Joint Resolution,Study the child abuse and neglect registry,Failed
31,Senate Joint Resolution,Interim study of mandatory reporting,Failed
32,Senate Joint Resolution,Study citizen's review board law for child protective service cases,Failed
33,Senate Resolution,Confirm governor's appointees for the board of optometry,Passed
34,Senate Joint Resolution,Interim study of child care,Failed
36,Senate Resolution,Confirm governor's appointee for board of behavioral health,Passed
36,Senate Joint Resolution,Study dependent neglect standards for prosecutors,Failed
37,Senate Joint Resolution,Interim survey of behavioral health services in Montana,Failed
38,Senate Resolution,Confirm governor's appointees for board of chiropractors,Passed
41,Senate Joint Resolution,Interim study of home-based and family child care providers,Failed
46,Senate Resolution,Confirm governor's appointees for board of speech-language pathologists and audiologists,Passed
50,Senate Resolution,Confirm governor's appointees for board of physical therapy examiners,Passed
68,Senate Resolution,Confirm governor's appointee for the board of massage therapy,Failed
86,Senate Resolution,Confirm governor's appointee for the board of medical examiners,Passed
104,Senate Resolution,Confirm governor's appointee for director of the department of public health and human services,Passed
107,Senate Resolution,Confirm the governor's appointee for the board of dentistry,Passed
151,Senate Bill,Direct the director of the public defender's office to create units for family defense and children's representation,Failed
206,Senate Bill,Generally revise laws related to child abuse and neglect proceedings and investigations,Passed
216,Senate Bill,Creating the Montana physicians' workforce investment act,Failed
248,Senate Bill,Provide that legislator access to CPS records includes drug testing results,Passed
249,Senate Bill,Revise child abuse and neglect laws involving adjudication,Passed
250,Senate Bill,Generally revise laws related to child and family ombudsman,Failed
251,Senate Bill,Establish confidentiality for child and family ombudsman,Passed
256,Senate Bill,Generally revise child abuse and neglect laws,Passed
268,Senate Bill,Renew the dependency and neglect court system task force,Failed
269,Senate Bill,Generally revise laws regarding family and group day-care homes,Failed
285,Senate Bill,Generally revise child care administrative rules,Failed
317,Senate Bill,Prohibit health insurers from performing prior authorization on psychiatric drugs in shortage or discontinued,Passed
318,Senate Bill,Generally revise child custody laws,Failed
367,Senate Bill,Revise citizen review boards in DN proceedings,Failed
401,Senate Bill,Prohibit definitions in administrative rules,Failed
402,Senate Bill,Provide for case determinations of investigations of reported child abuse or neglect,Passed
463,Senate Bill,Generally revise laws related to reporting of child abuse and neglect,Failed
464,Senate Bill,Revise laws related to appointment of special advocates in abuse and neglect cases,Passed
465,Senate Bill,Revise GAL laws and funding,Failed
466,Senate Bill,Establish factors when determining best interest of child,Passed
467,Senate Bill,Generally revise child care laws,Failed
468,Senate Bill,Establish central registry for individuals who are the subject of a substantiated report of child abuse or neglect,Passed
469,Senate Bill,Generally revise laws related to service area authorities,Failed
524,Senate Bill,Revise laws relating to category D assisted living facilities,Passed
