billNumber,billType,title,status
11,House Joint Resolution,Resolution supporting a constitutional amendment to overturn Citizens' United,Failed
37,House Joint Resolution,Request interim study of perfluoroalkyl and polyfluoroalkyl substances,Failed
160,House Bill,Repeal uniform auxiliary container regulation laws,Failed
185,House Bill,Provide for continuous healthy Montana kids plan eligibility for children under 6,Failed
188,House Bill,Revising appointment of interim committee members,Failed
224,House Bill,"Generally revise criminal law Prohibiting judges from seeking, accepting, or using political party endorsement",Failed
271,House Bill,Provide that there is a limited executive privilege to the public records act,Passed
272,House Bill,Provide that legislative bill drafting files are public records,Failed
273,House Bill,Provide for limitations on collection of medical debt,Failed
274,House Bill,Provide medicaid coverage for medical respite care for homeless people,Failed
275,House Bill,Provide for a driving privilege card,Failed
290,House Bill,Regulate sales of certain products containing PFAs,Failed
437,House Bill,Provide for dismissal of certain criminal charges against health care provider,Failed
565,House Bill,Require health insurance companies doing business in Montana to cover IVF treatment,Failed
617,House Bill,Provide for public input on certain decisions of the attorney general,Failed
737,House Bill,Generally revise suicide prevention laws,Failed
879,House Bill,Interim study bill on the impacts of federal actions on the state of Montana,Failed
