billNumber,billType,title,status
52,House Joint Resolution,Interim study on the Montana cattle industry,Passed
108,House Bill,Eliminate reference to personal property farm manual for property tax purposes,Passed
144,House Bill,Revise building code council membership laws,Passed
171,House Bill,Eliminate Montana alfalfa seed committee,Passed
225,House Bill,Revising laws related to home inspections,Passed
269,House Bill,Eliminate the organic commodity advisory council,Passed
299,House Bill,Define public purpose of easements on state lands,Passed
356,House Bill,Allow livestock loss reimbursement for black bear predation,Passed
357,House Bill,Provide funding for middle school career and technical education,Passed
504,House Bill,Expand livestock loss eligibility to include domestic bison,Passed
624,House Bill,Revise agriculture laws related to beehives,Passed
745,House Bill,Require background checks for certain school employees and volunteers,Passed
861,House Bill,Provide statewide access to a K-12 digital toolkit,Failed
898,House Bill,Generally revise laws related to LLC operating agreements,Passed
917,House Bill,Revise campaign finance laws,Passed
