billNumber,billType,title,status
78,House Bill,Adopt pet insurance model act,Passed
190,House Bill,Establish American rodeo the official state sport of Montana,Passed
208,House Bill,Providing authority for municipalities to control unauthorized occupancy of municipal property,Passed
209,House Bill,Prove income tax credit for nonpublic school expenses such as private or homeschool tuition,Failed
396,House Bill,Generally revise bail laws,Passed
431,House Bill,Revise laws related to the judicial standards commission,Passed
535,House Bill,Revise the uniform criminal extradition act,Passed
602,House Bill,Require school district personnel to inform board of trustees of reductions in force,Passed
603,House Bill,Eliminate attorney requirements on quasi-judicial boards,Passed
612,House Bill,Generally revise criminal procedure laws,Passed
614,House Bill,Allow for the termination of certain county zoning districts,Passed
642,House Bill,Revise civil liability laws,Passed
761,House Bill,Revise laws regarding residential covenants,Failed
772,House Bill,Revise writ of mandamus laws,Failed
803,House Bill,Generally revise asbestos litigation laws,Failed
905,House Bill,Providing for a refund of property taxes for failure to abate a public nuisance,Failed
