billNumber,billType,title,status
411,House Bill,Exempt agricultural property from open space levies,Passed
412,House Bill,Provide exemption for certain modifications to residential property,Failed
413,House Bill,Revise election laws regarding residency,Passed
472,House Bill,Revise laws related to state settlement money,Failed
473,House Bill,Allow for automatic CMS medicare fee schedule updates,Passed
474,House Bill,Revise date for annual supplemental medicaid payment to hospitals,Passed
574,House Bill,Authorizing implementation of the certified community behavioral health clinic model,Passed
576,House Bill,"Revise funding for medicaid and health and support services to children and to adults who are aged, blind, and disabled",Passed
589,House Bill,Generally revise peace officer education standards,Passed
707,House Bill,Require Corrections to consider inmate family connections during placement,Passed
870,House Bill,Revise laws related to surplus revenue,Failed
887,House Bill,Provide property tax relief funded with lodging tax revenue,Failed
892,House Bill,Revise allocation of the insurance premium tax to fund property tax relief,Failed
918,House Bill,Authorize transfers and other necessary measures to implement HB 2-Section B,Passed
936,House Bill,Authorize transfers and other necessary measures to implement HB 2-Section B,Passed
