billNumber,billType,title,status
6,House Resolution,Resolution on the protection of November mule deer hunt,Passed
35,House Joint Resolution,Joint resolution urging changes to federal wildfire policy,Passed
139,House Bill,Revise laws related to mule deer buck hunting in November,Failed
147,House Bill,Revise laws related to covenants to provide definition of enforcement action,Passed
298,House Bill,Revise local election laws on approval of marijuana businesses,Failed
312,House Bill,Revise speed limit laws,Passed
330,House Bill,Create auction or lottery licenses for antelope and swans,Passed
350,House Bill,Prohibit enforcement of policies issued by certain intergovernmental entities,Passed
416,House Bill,Require homeowners' associations to seek permission for entry on real property,Passed
446,House Bill,Revise indecent exposure laws,Passed
471,House Bill,Revise education laws related to human sexuality and identity instruction,Passed
519,House Bill,Repeal nonresident landowner preference for big game combo licenses,Failed
658,House Bill,Revise local board of health sanitation powers and rules,Failed
659,House Bill,Revising marijuana election requirements in certain municipalities,Failed
807,House Bill,Prohibiting vaccines allowed under an emergency use authorization or undergoing safety trials to be required,Passed
888,House Bill,Revise local board of health rules for isolation and quarantine,Passed
889,House Bill,Revise local growth policy and county zoning laws,Failed
