billNumber,billType,title,status
38,House Joint Resolution,Interim study on bolstering public participation in the session/legislature,Failed
41,House Joint Resolution,Study resolution on the landlord tenant act and mobile home lot rental act,Failed
154,House Bill,Establish a housing fairness tax credit,Failed
168,House Bill,Provide state funding for preschool children with disabilities,Passed
264,House Bill,Generally revise wildlife location data subject to public information requests,Passed
304,House Bill,Revise security deposit laws to provide tenants more information and time,Failed
305,House Bill,Establish the mobile home park dispute resolution program,Failed
335,House Bill,Revise laws related to professional licensing board appointments and reporting requirements,Passed
398,House Bill,Generally revise insurance laws related to prior authorization of chronic conditions,Passed
399,House Bill,Revise prior authorization laws,Passed
422,House Bill,Allow covenants that provide housing affordability,Failed
456,House Bill,Provide best beginnings scholarships to child care workers,Passed
457,House Bill,Revise best beginnings eligibility,Failed
