billNumber,billType,title,status
48,Senate Joint Resolution,Interim study of the public health and safety impacts of marijuana legalization,Failed
49,Senate Joint Resolution,Interim study of youth and family behavioral health prevention,Failed
72,Senate Bill,Provide presumptive eligibility for Medicaid coverage of home and community-based services,Passed
73,Senate Bill,Generally revise laws relating to protective care,Passed
82,Senate Bill,Establish adjustment to blindness program,Passed
95,Senate Bill,Provide funding for suicide prevention,Passed
108,Senate Resolution,Resolution recognizing the 250th anniversary of the founding of the United States,Passed
112,Senate Bill,Revise laws related to state purchase of opioid antagonists,Failed
113,Senate Bill,Revise exemptions related to tow truck lien law,Passed
135,Senate Bill,Eliminate termination of chemical dependency voucher program,Failed
144,Senate Bill,Change name of mental health advisory council to behavioral health advisory council,Passed
203,Senate Bill,Revise income tax brackets to lower income taxes,Failed
244,Senate Bill,Revise laws related to health insurance coverage of behavioral health screening,Passed
245,Senate Bill,Provide for human trafficking awareness training for school bus drivers,Passed
280,Senate Bill,Revise domestic violence intervention grant requirements,Passed
281,Senate Bill,Revise electioneering laws,Failed
296,Senate Bill,Enhance penalty for crime against vulnerable person,Passed
361,Senate Bill,Revise laws relating to health insurance claims submitted to the department of public health and human insurances,Passed
369,Senate Bill,Strengthen suicide prevention efforts in schools,Passed
370,Senate Bill,Generally revise laws related to jury duty,Failed
398,Senate Bill,Revise laws related to collections-related actions in municipal court,Passed
516,Senate Bill,Update licensing requirements for facilities licensed by the department of public health and human services,Passed
