billNumber,billType,title,status
31,House Bill,Revise wind and solar facility decommissioning,Passed
33,House Bill,Revise law related to petitions to initiate agency rulemaking,Failed
173,House Bill,Revise definition of victim in youth court act,Passed
174,House Bill,Revise laws related to drug assault crimes,Failed
235,House Bill,Provide for voluntary cancellation and suspension of vehicle registration,Passed
486,House Bill,Revise county deputy sheriff compensation,Passed
588,House Bill,Defining and regulating motorized scooters,Passed
829,House Bill,Generally revise laws related to aquatic invasive species.,Failed
835,House Bill,Extend at-home infant care program,Failed
933,House Bill,Establish the Montana railroad crossing clarity act,Failed
