billNumber,billType,title,status
66,House Joint Resolution,Study resolution on impact of federal funding changes on DPHHS,Failed
76,House Bill,Generally revise laws related to the board of behavioral health,Passed
77,House Bill,Generally revise laws related to child abuse and neglect investigations by the department of public health and human services,Passed
297,House Bill,Establish requirement for paid sick days,Failed
386,House Bill,Revising laws related to continuous medicaid eligibility,Failed
510,House Bill,Generally revise medicaid services,Failed
601,House Bill,Create online portal for community assisters related to Medicaid,Passed
843,House Bill,Create Montana emergency solutions grant for rapid re-housing,Failed
884,House Bill,Establish a behavioral health trust fund,Failed
885,House Bill,Generally revise Medicaid laws to improve customer service,Failed
