billNumber,billType,title,status
33,House Joint Resolution,Resolution to urge U.S. Congress to take action relating to mortgage trigger leads,Failed
132,House Bill,Exempt a portion of interest earnings from individual income tax,Failed
232,House Bill,Require homeowners' associations to distribute annual budget and financial reports,Failed
470,House Bill,Generally revise laws related to trigger leads,Failed
705,House Bill,Generally revise laws related to county and city central committees,Failed
785,House Bill,Revise laws related to manufactured homes,Passed
799,House Bill,Allow property owners to vote in voted levy elections,Failed
906,House Bill,Provide property tax rebates for principal residences,Failed
944,House Bill,Authorize transfers and other necessary measures to implement HB2 Section A,Failed
946,House Bill,Revise selective sales taxes to provide ongoing property tax relief,Failed
