billNumber,billType,title,status
25,Senate Joint Resolution,Joint resolution urging Congress to support MCOOL,Passed
27,Senate Joint Resolution,Joint resolution urging Congress to act on brucellosis vaccines for livestock,Passed
55,Senate Bill,Provide for legislative intent regarding streamflow information,Passed
111,Senate Resolution,Senate resolution recognizing the service of 85 years of smoke jumpers,Passed
233,Senate Bill,Adopting the interstate massage compact,Passed
234,Senate Bill,Requiring fingerprint-based background checks for massage therapy licensure,Failed
247,Senate Bill,Modify tax classification of shooting ranges,Passed
332,Senate Bill,Require appointment of clerk of supreme court,Failed
390,Senate Bill,Revise definitions in Clean Indoor Air Act,Passed
427,Senate Bill,Provide trapping setback distances for certain roads and trails,Failed
428,Senate Bill,Generally revise county speed limits,Passed
508,Senate Bill,Generally revise driving under the influence laws for THC levels in drivers under 21,Passed
509,Senate Bill,"Revise ownership laws related to farm equipment embedded software- electronic control unit, sensor, switches, and controls",Failed
510,Senate Bill,Revise urban transportation district laws,Failed
515,Senate Bill,Enacting the cosmetology licensure compact,Failed
556,Senate Bill,Create board of passenger ropeway safety,Failed
