billNumber,billType,title,status
18,Senate Resolution,Confirm governor's appointee for the board of environmental review,Failed
25,Senate Resolution,Confirm governor's appointees for the hard-rock mining impact board,Passed
43,Senate Resolution,Confirm governor's appointees for board of water well contractors,Passed
54,Senate Bill,Require certain tax payments to be made electronically,Passed
77,Senate Resolution,Confirm governor's appointee for director of the department of environmental quality,Passed
85,Senate Resolution,Confirm governor's appointee for director of the department of natural resources and conservation,Passed
102,Senate Resolution,Confirm governor's appointees for the coal board,Passed
119,Senate Bill,Repeal incumbent electric utility right of first refusal law,Failed
150,Senate Bill,Generally revise alcohol and tobacco laws,Failed
153,Senate Bill,Revise video gambling machine laws,Failed
221,Senate Bill,Generally revise the Montana environmental policy act,Passed
241,Senate Bill,Revise alcohol laws relating to transfer of a license,Passed
355,Senate Bill,Generally revise energy laws,Passed
357,Senate Bill,Extend perfection deadline for certain Missouri River water reservations,Passed
358,Senate Bill,Revise exempt water right laws,Failed
403,Senate Bill,Grant the fish and wildlife commission authority to set muzzleloader season,Failed
434,Senate Bill,Provide property tax rebate on principal residence based on taxes paid,Failed
480,Senate Bill,Prohibit discharge of firearms under certain conditions on Class 2 waters,Failed
481,Senate Bill,Prohibit motorboats and motorized watercraft on Class 2 waters,Failed
542,Senate Bill,Generally revise property tax laws,Passed
543,Senate Bill,Revise judiciary laws,Failed
