sponsor,party,chamber,district,billsSponsored,billsPassed,billsFailed,billsPassPercentage,legislationSponsored,legislationPassed,legislationFailed,legislationPassPercentage
Greg Hertz,Republican,SENATE,SENATE DISTRICT 7,53,30,23,56.6,59,34,25,57.63
Bill Mercer,Republican,HOUSE,HOUSE DISTRICT 52,39,25,14,64.1,39,25,14,64.1
Daniel Emrich,Republican,SENATE,SENATE DISTRICT 11,36,8,28,22.22,36,8,28,22.22
Steve Fitzpatrick,Republican,HOUSE,HOUSE DISTRICT 24,34,29,5,85.29,36,31,5,86.11
Lukas Schubert,Republican,HOUSE,HOUSE DISTRICT 8,32,4,28,12.5,34,4,30,11.76
Daniel Zolnikov,Republican,SENATE,SENATE DISTRICT 22,30,17,13,56.67,38,25,13,65.79
Ed Buttrey,Republican,HOUSE,HOUSE DISTRICT 21,26,22,4,84.62,26,22,4,84.62
John Fitzpatrick,Republican,HOUSE,HOUSE DISTRICT 76,26,19,7,73.08,26,19,7,73.08
Dennis Lenz,Republican,SENATE,SENATE DISTRICT 25,26,13,13,50.0,48,29,19,60.42
Jeremy Trebas,Republican,SENATE,SENATE DISTRICT 10,25,8,17,32.0,25,8,17,32.0
Kerri Seekins-Crowe,Republican,HOUSE,HOUSE DISTRICT 39,21,5,16,23.81,24,7,17,29.17
Braxton Mitchell,Republican,HOUSE,HOUSE DISTRICT 5,20,17,3,85.0,22,19,3,86.36
Jodee Etchart,Republican,HOUSE,HOUSE DISTRICT 51,20,13,7,65.0,20,13,7,65.0
Ken Walsh,Republican,HOUSE,HOUSE DISTRICT 69,19,14,5,73.68,19,14,5,73.68
Curtis Schomer,Republican,HOUSE,HOUSE DISTRICT 48,19,16,3,84.21,21,16,5,76.19
Julie Darling,Republican,HOUSE,HOUSE DISTRICT 84,19,17,2,89.47,21,19,2,90.48
Mike Yakawich,Republican,SENATE,SENATE DISTRICT 24,19,12,7,63.16,22,15,7,68.18
David Bedey,Republican,HOUSE,HOUSE DISTRICT 86,19,15,4,78.95,19,15,4,78.95
Barry Usher,Republican,SENATE,SENATE DISTRICT 19,18,11,7,61.11,37,27,10,72.97
Kenneth Bogner,Republican,SENATE,SENATE DISTRICT 18,18,9,9,50.0,19,10,9,52.63
Greg Oblander,Republican,HOUSE,HOUSE DISTRICT 38,18,9,9,50.0,18,9,9,50.0
Nelly Nicol,Republican,HOUSE,HOUSE DISTRICT 53,18,4,14,22.22,19,4,15,21.05
Forrest Mandeville,Republican,SENATE,SENATE DISTRICT 28,17,8,9,47.06,21,11,10,52.38
Randyn Gregg,Republican,HOUSE,HOUSE DISTRICT 78,17,7,10,41.18,21,10,11,47.62
Ellie Boldman,Democrat,SENATE,SENATE DISTRICT 47,16,3,13,18.75,16,3,13,18.75
Greg Overstreet,Republican,HOUSE,HOUSE DISTRICT 88,16,11,5,68.75,16,11,5,68.75
Brad Barker,Republican,HOUSE,HOUSE DISTRICT 55,16,6,10,37.5,17,7,10,41.18
Steve Gist,Republican,HOUSE,HOUSE DISTRICT 25,16,12,4,75.0,17,13,4,76.47
Gary Parry,Republican,HOUSE,HOUSE DISTRICT 35,16,10,6,62.5,17,11,6,64.71
